date,real_gdp,gdp_growth,inflation,policy_rate
1991-07-01,10080.195,2.016344141362225,3.03736915664814,5.6433333333333335
1991-10-01,10115.329,1.3917553392431614,3.3050005762735424,4.816666666666666
1992-01-01,10236.435,4.760567368570179,2.701409206311922,4.023333333333333
1992-04-01,10347.429,4.31386743708444,3.065149098227593,3.77
1992-07-01,10449.673,3.933041199498177,3.0418397540877606,3.2566666666666664
1992-10-01,10558.648,4.149821489325944,3.488531245525905,3.036666666666666
1993-01-01,10576.275,0.6672181048244852,2.899580100271137,3.04
1993-04-01,10637.847,2.32193150936979,2.8787123668166714,3.0
1993-07-01,10688.606,1.9040801899045332,1.8462991468762624,3.06
1993-10-01,10833.987,5.4039292080304335,3.3020137066305466,2.99
1994-01-01,10939.116,3.862740813035259,2.004560003877387,3.2133333333333334
1994-04-01,11087.361,5.384328630134405,2.265781519961152,3.94
1994-07-01,11152.176,2.3315299597626904,3.688320296449632,4.486666666666667
1994-10-01,11279.932,4.556232746715239,2.321435087216628,5.166666666666667
1995-01-01,11319.951,1.4166105843251842,2.927166849329055,5.81
1995-04-01,11353.721,1.1915149860357133,3.2567018935676373,6.02
1995-07-01,11450.31,3.3885089042826166,2.0111529961791774,5.796666666666667
1995-10-01,11528.067,2.7071466987720783,2.1746275155422268,5.72
1996-01-01,11614.418,2.985034692400035,3.540992572739654,5.363333333333333
1996-04-01,11808.14,6.616746723562983,3.4246784539245567,5.243333333333333
1996-07-01,11914.063,3.5721371730851104,2.2951927812083994,5.306666666666667
1996-10-01,12037.775,4.132062019747451,3.460302199631471,5.28
1997-01-01,12115.472,2.5734765352304123,2.429581246857282,5.276666666666666
1997-04-01,12317.221,6.606020401069657,0.917718621349195,5.523333333333333
1997-07-01,12471.01,4.963354527751562,1.995016604415767,5.533333333333334
1997-10-01,12577.495,3.4009420197484985,2.15009820980292,5.506666666666667
1998-01-01,12703.742,3.994995954540314,0.8238931852041276,5.52
1998-04-01,12821.339,3.685718592768694,1.3147094826493344,5.5
1998-07-01,12982.752,5.004326030774564,2.045621723354074,5.533333333333334
1998-10-01,13191.67,6.385544996209802,1.8727769579186315,4.86
1999-01-01,13315.597,3.740194050978829,1.4595596976842984,4.733333333333333
